id;community_like_id;community_post_id;created_on;is_active;is_liked;liked_by_user_id
1;38e0041f-e11f-4055-abe0-701e85278503;488fb634-613d-4491-a41a-d8ef9d94a079;2024-10-04;true;false;5054
2;a392298b-4fc9-4a22-97b4-1024e574adb2;711fdebc-2d21-4ee9-9a7c-8b615ca96d0d;2024-10-04;false;false;14438
3;71eafa94-19f3-4e81-a4b7-8b3cb75c4559;f228bd55-8d44-4857-a1f4-731317adf923;2024-10-04;false;true;6708
4;9dd92342-f4bc-4f2f-8a45-af72243a9d68;0d7493e9-2e6a-4db0-a8bf-4e1ae08eb50c;2024-10-04;false;true;22091
5;448963cd-d8f7-44d7-98a7-65c83e8b4b9b;fb8c4c0e-7ce3-448f-bb27-5fc5173bfd2a;2024-10-04;false;false;24897
6;c3b53931-f1b0-4240-864c-db546b024695;9b45dc6f-4f94-4375-839d-6718c0cf8629;2024-10-04;false;true;7979
7;4369ce75-de26-4f86-9672-baa02eff7d58;3ef52e36-4c5d-4a0f-a6cf-55d8feb749e2;2024-10-04;true;true;15233
8;77cbf3c4-eef1-4077-ae75-cda4065589d3;674c98e0-4c62-49c2-93a6-c28f7bb46205;2024-10-04;true;true;27660
9;413a2804-cc6a-4fce-8b93-2f661fd4a5cd;e5d2a544-ae2d-48c7-a2c7-a023178c1bf9;2024-10-03;true;false;14222
10;b66e68b7-0327-4581-af33-93b9a2bd54b9;83f08a30-12d3-4875-abfb-f8b1cc3a84d0;2024-10-04;false;true;14709
