id;content;created_by;created_on;is_active;notification_id;reference_id;type;user_id
1;../fake-data/blob/hipster.txt;32361;2024-10-04;false;1981;4593;whereas;3069
2;../fake-data/blob/hipster.txt;1491;2024-10-04;true;2047;11850;unique;18821
3;../fake-data/blob/hipster.txt;14701;2024-10-04;false;26579;7156;woot;31033
4;../fake-data/blob/hipster.txt;6494;2024-10-03;false;29046;9703;less brr;22383
5;../fake-data/blob/hipster.txt;11617;2024-10-04;true;24563;32709;supposing capitalise whoever;12417
6;../fake-data/blob/hipster.txt;12478;2024-10-04;false;6937;13080;cone;2178
7;../fake-data/blob/hipster.txt;11656;2024-10-04;true;20002;1430;whoa from;6715
8;../fake-data/blob/hipster.txt;8791;2024-10-04;false;12860;13103;over;21196
9;../fake-data/blob/hipster.txt;28506;2024-10-04;false;10906;3650;considering decriminalize stable;22166
10;../fake-data/blob/hipster.txt;23025;2024-10-03;false;1844;8987;selfishly;2616
