id;comment;comment_by_user_id;community_comment_id;community_post_id;created_on;is_active;last_updated_on
1;../fake-data/blob/hipster.txt;12339;11b296a9-b605-4820-a1f1-2c47deb1542e;bbbcad1b-62ba-4dc0-b023-e944c0ea01b4;2024-10-03;true;2024-10-04
2;../fake-data/blob/hipster.txt;23641;088d94ad-bd68-4d43-bcef-28b3267ff74e;ac513d80-a677-4326-87af-e56ce97ca1c7;2024-10-03;true;2024-10-04
3;../fake-data/blob/hipster.txt;29380;5de93df3-c83a-49d7-869c-a6e5452590d4;c0fec250-a08c-447d-bb3c-34fe274400f6;2024-10-04;true;2024-10-04
4;../fake-data/blob/hipster.txt;16069;d0972091-d849-464e-a7ff-ddd709268846;d13e53d0-fef2-4139-b28c-e868daf38bd3;2024-10-04;true;2024-10-04
5;../fake-data/blob/hipster.txt;9193;14ab5d38-afc1-449b-883b-18d2280a3711;920b7eac-dd3a-4130-9e10-4c6dff63b51e;2024-10-04;true;2024-10-04
6;../fake-data/blob/hipster.txt;28489;115df2d4-7325-4367-8814-f217b1de3ef6;d4e62f43-2b5c-424d-9d4b-9b843e2032f7;2024-10-04;true;2024-10-04
7;../fake-data/blob/hipster.txt;17976;fc673adc-3b61-4b04-bb47-994572481678;19b101c7-1c1b-4a10-97a1-d1ce3bc14a40;2024-10-04;true;2024-10-04
8;../fake-data/blob/hipster.txt;16801;a6e242a0-8a90-4370-91fe-e014b8e1a3b4;7201bc11-9f6e-4aa1-98a6-76a72b15327f;2024-10-04;true;2024-10-03
9;../fake-data/blob/hipster.txt;16325;02748580-d0bb-4af7-9705-32c94698f563;09a1d833-4b8c-4a69-a590-ea51908c2856;2024-10-04;true;2024-10-03
10;../fake-data/blob/hipster.txt;4343;48063ea8-a076-43ab-a432-6218013dc040;3507fb71-5ca7-4c49-aef8-5b9d7aacd29e;2024-10-04;false;2024-10-04
