id;is_active;is_approve;product_id;suggested_by_district;suggested_by_user_id;suggested_product_id;suggestion_date;suggestion_id
1;true;false;10520;26245;19935;154;2024-10-04;11328
2;true;false;32358;28540;25299;28583;2024-10-04;25668
3;false;false;3893;22538;26943;3319;2024-10-04;7608
4;false;false;27671;22771;26072;5754;2024-10-04;5173
5;false;true;9713;16370;7390;16982;2024-10-04;32599
6;false;false;1107;30585;29407;25519;2024-10-04;784
7;false;false;10861;32187;21289;10810;2024-10-04;26364
8;false;false;16113;22211;22921;26371;2024-10-04;13015
9;true;true;19019;7766;8723;19538;2024-10-04;2886
10;true;true;25710;2240;4690;12516;2024-10-04;22800
