id;created_by;created_on;is_allocated;product_district_allocation_id;product_id;school_district_id;updated_by;updated_on
1;30974;2024-10-04;false;66cdb4f4-5348-44ff-8a1c-4fa979b9a346;24996;21582;14200;2024-10-04
2;23449;2024-10-04;false;1ab127ea-2a8e-4a01-8e46-0fe19d396950;2477;28871;27210;2024-10-03
3;1404;2024-10-04;false;b692874d-77c7-48c0-8c70-b5e86f42891a;16824;31204;16364;2024-10-03
4;7326;2024-10-04;false;2d632098-53d3-450f-9b69-058346689200;8818;24555;7978;2024-10-04
5;10872;2024-10-04;true;7e62bc78-199e-4b20-9185-7b040ef3f4e9;25816;32258;19273;2024-10-04
6;22673;2024-10-04;true;afb52639-4b41-4a80-a58f-a1c9f7ad1522;7209;27838;24826;2024-10-04
7;1174;2024-10-03;true;58077008-ceab-4ec7-827d-c274af59f8e3;22035;28733;1597;2024-10-04
8;21619;2024-10-04;true;0d3a5ee2-9fc6-4580-ad22-1580cc8c882f;32227;15122;10389;2024-10-03
9;27864;2024-10-04;false;9b200262-9950-4eda-b011-05c27c5a9645;13129;20560;25280;2024-10-04
10;6079;2024-10-04;false;3cfda857-a693-4c83-a892-cc38a7edc668;22383;13860;25362;2024-10-03
