id;is_active;product_id;replaced_by_user_id;replaced_id;replaced_product_id;replacement_date;school_district_id
1;false;440;30108;17906;1404;2024-10-04;11035
2;false;8151;26017;11080;31749;2024-10-04;3590
3;false;8224;3765;5353;3815;2024-10-03;29792
4;true;11616;13084;23142;30946;2024-10-04;8477
5;false;21657;5594;29456;9509;2024-10-04;6699
6;true;26683;30753;16437;1516;2024-10-04;25325
7;true;20003;7285;7051;25933;2024-10-04;29512
8;false;28470;14046;9199;10099;2024-10-04;15621
9;false;20358;29826;17527;3216;2024-10-04;1288
10;false;3603;20426;23486;8957;2024-10-04;17911
