id;block_categories;blocking_reason;post_block_report_id;post_id;post_type;requested_by
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8c09cb3c-0472-446e-aea7-88834db0e3d9;57bc803d-0b81-4df9-b356-307be0e6bee9;hence hmph;3270
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ecd11999-aa44-4454-90ef-f9d09f323791;d8c88099-e62b-447e-a14a-b04f7ba81fdb;considering;2030
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;7ce92034-14b2-413f-828a-efd007b22abd;b277aff9-5aa5-4345-9c13-8252b7a805db;gosh;3051
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;66771025-038b-4ac5-8b4e-7fa3286f3a9f;c20db161-518b-428c-8acf-4661be92a190;blindly times bah;19799
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;b7736aa1-2f03-4eee-83af-6141ae1da602;0789d198-8d50-42b9-949b-919901e5a9ef;shirk reiterate;26804
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;b5398e65-e873-46db-84bd-432e5306789d;acac0e38-d7ec-472f-9c23-bd1ea0dcbb53;forenenst too how;2840
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;37115dbb-3529-4955-bfc9-c43a24578490;6dc2a66b-cb7a-4f03-a521-2cfe4fd8324e;beside fumigate;10645
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4f01d694-f19b-41cd-ae8f-293a134d99d6;0ce2cc0e-ee52-480e-b022-c93ad545c5a4;thigh optimistically through;23683
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;16451970-4888-4b1d-a825-707dfa65fd19;254b126d-b1f9-490b-9ec1-fa00605b902e;quip;9047
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bb8b7955-ae2d-43d8-a6f5-51b80623c140;661532e5-572a-409f-b469-af6b449c1411;last handsome;31391
