id;community_post_id;created_by;created_on;date;description;is_active;last_updated_by;last_updated_on;post_type_id;privacy_type_id;school_district_id;user_id
1;dbf1e11d-9515-4d9a-aeae-34919516fad1;5328;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;false;5471;2024-10-04;28305;28382;27863;12362
2;5eacfec8-53e2-46de-9cac-80583140871d;30443;2024-10-04;2024-10-03;../fake-data/blob/hipster.txt;true;23819;2024-10-04;14060;22105;25743;20003
3;295049bf-bd23-4264-9247-3ca57e6c67d1;17356;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;true;10857;2024-10-04;7634;6078;13087;11285
4;bbd20de2-19bc-4d03-a513-b4ef8609bf81;20931;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;true;25006;2024-10-04;25491;14829;13868;18793
5;649e9eb1-0f5f-4cc2-bf15-b54b62d0550d;4603;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;true;20135;2024-10-04;27497;23266;2715;4340
6;8571d3c5-94ad-4143-bd4e-049fa77d00fb;3872;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;true;22431;2024-10-04;21456;29970;14108;27046
7;67bd6f53-1dac-46f6-b8a9-86b9c8ba10b9;25367;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;false;30646;2024-10-04;22726;8278;7770;25758
8;e4810bbb-b069-4f7c-88e1-38dee7420724;21705;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;false;20598;2024-10-04;607;7724;11301;23335
9;9ad16af8-788e-4738-afd1-87c33290ea85;10390;2024-10-04;2024-10-04;../fake-data/blob/hipster.txt;true;8416;2024-10-04;9934;16605;11261;267
10;d69f97eb-f55d-4c4f-94be-b27f4df12c04;12226;2024-10-03;2024-10-04;../fake-data/blob/hipster.txt;true;15415;2024-10-04;9115;14905;9627;5125
